census_tract_id_2020,fraction_poverty,fraction_snap,fraction_insured,median_income,fraction_hs,fraction_vacant,dep_index
37019020505,0.172,0.119,0.859,57000,0.901,0.224,0.36240019737591467
27141030506,0.076,0.142,0.959,62400,0.881,0,0.2777555316543132
06075017101,0.049,0.04,0.989,200000,0.98,0.14,0.09518719880349223
42003110600,0.076,0.06,0.994,130000,0.995,0.054,0.15193896070876217
20091052102,0.086,0.029,0.85,66900,0.926,0.035,0.27248475747064427
55059000601,0.072,0.091,0.843,78300,0.95,0.021,0.26961275078710684
06055201900,0.13,0.033,0.945,130000,0.867,0.37,0.25872529227930857
35035940000,0.301,0.515,0.809,39200,0.804,0.191,0.5838230412915455
36067011900,0.038,0.041,0.957,104000,0.951,0.076,0.1864954320831685
36067016802,0.045,0.065,0.967,93300,0.956,0.26,0.2207061153827058
48381021802,0.116,0.044,0.899,50800,0.95,0.09,0.2806383794915641
39139001700,0.473,0,1,NA,0.732,0,NA
39023000700,0.292,0.224,0.925,49100,0.896,0.212,0.4155709997940459
48135002300,0.082,0.097,0.641,82800,0.914,0.04,0.35886809731421043
48323950601,0.395,0.373,0.745,32900,0.588,0.13,0.6665213740713356
49049003401,0.074,0.046,0.907,71300,0.947,0.094,0.24884606730039177
53063013201,0.051,0.118,0.943,72200,0.909,0.01,0.2518506121006172
34027044701,0.039,0.035,0.969,99600,0.96,0.096,0.18363899801785794
48251130501,0.041,0.021,0.9,93000,0.906,0.062,0.22506363272494212
49053270804,0.015,0,0.845,120000,0.982,0.106,0.18733774100366557
48215023517,0.225,0.233,0.71,58900,0.628,0.157,0.5501226417073538
48215020405,0.063,0.056,0.709,75000,0.924,0.152,0.33176037974054223
08013012609,0.506,0.077,0.984,26800,0.99,0.014,0.3848487925379185
45031010902,0.169,0.084,0.906,41500,0.836,0.162,0.36156484846174497
37119004306,0.168,0.378,0.902,57900,0.574,0.133,0.5205645563522725
42129804703,0.028,0.035,0.978,101000,0.958,0.078,0.17418465193011176
13059030102,0.253,0.148,0.893,51800,0.969,0.018,0.3429342208924025
13091960301,0.22,0.252,0.923,40600,0.856,0.092,0.4078116792454738
06079012706,0.032,0.056,0.958,121000,0.952,0.024,0.1680331907935464
20045000904,0.272,0.071,0.843,50400,0.967,0.084,0.35401185106208116
12015020402,0.093,0.078,0.905,84400,0.971,0.104,0.24737799753726172
12049970401,0.555,0.439,0.803,31400,0.72,0.125,0.6736292092118067
06013340004,0.026,0.023,0.998,166000,0.982,0.016,0.09295093862670371
06013355118,0.008,0.136,0.963,122000,0.888,0,0.1999293643850364
06013327001,0.088,0.203,0.885,98700,0.774,0,0.33217599824198224
39057200902,0.065,0.036,0.948,98300,0.969,0.027,0.1902372982825585
17109010402,0.469,0.186,0.918,30100,0.97,0.169,0.4509051195613265
26049013303,0.045,0.031,0.969,102000,0.968,0.082,0.17810852507686692
51530930601,0.201,0.136,0.955,59000,0.786,0.109,0.36553124743373255
45091061705,0.186,0.142,0.886,73100,0.926,0.007,0.3170905322481647
13115000900,0.32,0.228,0.831,50200,0.937,0.083,0.4307146160418403
47093004610,0.277,0.117,0.773,37900,0.948,0.123,0.41617213581453955
37081015901,0.094,0.076,0.95,118000,0.963,0.008,0.19413329909052154
37051980100,NA,NA,NA,NA,1,NA,NA
42111020102,0.068,0.105,0.989,72100,0.934,0.179,0.24789951115324824
48167724000,0.253,0.026,0.867,38000,0.707,0.132,0.42880641188251795
27123034601,0.189,0.271,0.915,54800,0.821,0.054,0.4016786317845571
17131040400,0.049,0.123,0.939,71500,0.918,0.104,0.26251744463467486
16031950200,0.032,0.058,0.931,63400,0.935,0.071,0.23792308792922962
48201551800,0.026,0.066,0.967,107000,0.951,0.05,0.18082420112200812
09011700100,NA,NA,NA,NA,NA,NA,NA
06037124700,0.089,0.084,0.926,110000,0.967,0.039,0.21256689679385282
08005005624,0.057,0.027,0.97,156000,0.954,0.009,0.1314632590815785
42125781700,0.079,0.146,0.97,70300,0.966,0.046,0.24606707343070236
36005013200,0.069,0.122,0.962,109000,0.871,0,0.2326922833593
36005029600,0.176,0.157,0.968,56700,0.877,0.016,0.3195635302718638
01033020300,0.496,0.198,0.912,16300,0.824,0.147,0.5234781979074744
36101961600,0.089,0.069,0.947,79000,0.956,0.089,0.23590971366486632
23025967000,0.104,0.087,0.945,75900,0.917,0.355,0.293140819877476
28087000500,0.088,0.185,0.875,46700,0.831,0.107,0.3673232078324226
36117020500,0.092,0.1,0.984,86100,0.937,0.026,0.22573900899692545
